id,map_id,address,description,pic,link,icon,lat,lng,anim,title,infoopen,category,approved,retina,type,did,sticky,other_data
3,3,"Monash University Clayton Campus, Wellington Road, Clayton VIC, Australia",,,,,-37.9145125,145.1349971,1,,0,,1,0,0,,0,
4,3,"M-City Monash, Princes Highway, Clayton VIC, Australia",,,,,-37.920929,145.1403919,0,,0,,1,0,0,,0,
7,3,"Apex Park, Alpine Shire, VIC,Australia",,,,,-36.72883786,146.957553,1,,0,,1,0,0,,0,
11,2,"58 Samada Street, Notting Hill VIC, Australia",,,,,-37.9061235,145.1489224,0,Samada Street Playground,0,,1,0,0,,0,
12,2,"Browns Rd, Clayton VIC, Australia",,,,,-37.9221316,145.1269968,0,Fregon Reserve Playground,0,,1,0,0,,0,
13,3,"Bulleen Park Playground,175 Bulleen Road,Bulleen VIC, Australia",,,,,-37.77251307,145.0719329,0,,0,,1,0,0,,0,
14,3,"Dumossa Reserve Playground,31 Dumossa Avenue,Bulleen VIC, Australia",,,,,-37.76239842,145.0875386,0,,0,,1,0,0,,0,
15,3,"Grant Olson Reserve Playground,32-34 Bourke Street,Bulleen VIC, Australia",,,,,-37.76540287,145.0933329,0,,0,,1,0,0,,0,
16,3,"Harold Reserve Playground,29A Harold Street,Bulleen VIC, Australia",,,,,-37.77509025,145.0985844,0,,0,,1,0,0,,0,
17,3,"Koonung Park Playground,30-34 Furneaux Grove,Bulleen VIC, Australia",,,,,-37.77887897,145.086769,0,,0,,1,0,0,,0,
18,3,"Riverview Reserve Playground,52 Riverview Terrace,Bulleen VIC, Australia",,,,,-37.77254709,145.0993155,0,,0,,1,0,0,,0,
19,3,"Ronald Reserve Playground,13-15 Ronald Avenue,Bulleen VIC, Australia",,,,,-37.76363049,145.0898259,0,,0,,1,0,0,,0,
20,3,"Sandra Reserve Playground,20 Sandra Street,Bulleen VIC, Australia",,,,,-37.77715661,145.0840575,0,,0,,1,0,0,,0,
21,3,"Sheahans Reserve Playground,27-37 Sheahans Road,Bulleen VIC, Australia",,,,,-37.75903746,145.0942941,0,,0,,1,0,0,,0,
22,3,"Stanley Reserve Playground,41 Stanley Street,Bulleen VIC, Australia",,,,,-37.77461937,145.0849016,0,,0,,1,0,0,,0,
23,3,"Swanston Reserve Playground,96-106 Swanston Street,Bulleen VIC, Australia",,,,,-37.76227789,145.0989577,0,,0,,1,0,0,,0,
24,3,"Willow North Reserve Playground,91 Willow Bend,Bulleen VIC, Australia",,,,,-37.78208953,145.1008914,0,,0,,1,0,0,,0,
